PO_ID,Supplier_ID,Supplier_Name,Region,Country,Product_Category,Product_SKU,Unit_Cost_USD,Lead_Time_Days,OTD_Rate_Pct,Defect_Rate_Pct,Compliance_Score,Contract_Tier,Payment_Terms_Days,MOQ_Units,Annual_Volume_Units,Risk_Level,Certifications,Last_Audit_Date,Sustainability_Score,Active_Disruptions,Alt_Supplier_ID,PO_Quarter,Units_Ordered,Units_Delivered_On_Time,Units_Rejected,PO_Value_USD
PO-10001,SUP-001,Orrentek Precision Mfg,APAC,China,Electronic Components,SKU-EC-1001,7.78,14,95.4,0.14,88,Tier-1,60,5943,428323,Low,ISO9001;ISO14001;RoHS,2023-08-12,77,None,SUP-006,Q1-2023,9013,8598,12,70121.14
PO-10002,SUP-002,Zhenlong ElectroCo,APAC,China,Electronic Components,SKU-EC-1002,5.04,34,82.0,2.09,84,Tier-2,45,19856,979796,Medium,ISO9001;RoHS,2023-06-13,60,Regulatory audit pending,SUP-114,Q1-2023,69585,57059,1454,350708.4
PO-10003,SUP-003,Wanlong Composites Ltd,APAC,China,Raw Materials,SKU-RM-1001,10.23,22,89.9,1.35,71,Tier-2,45,5349,294502,High,ISO9001,2023-02-14,61,Audit overdue; compliance review,SUP-081,Q1-2024,18572,16696,250,189991.56
PO-10004,SUP-004,Yangtze Fiber Materials,APAC,China,Industrial Textiles,SKU-IT-1001,2.19,38,90.4,1.9,79,Tier-2,45,13850,1310795,Medium,OEKO-TEX;ISO9001,2023-08-27,53,Geopolitical tension flag,SUP-034,Q1-2024,19079,17247,362,41783.01
PO-10005,SUP-005,Huabei Circuit Systems,APAC,China,Electronic Components,SKU-EC-1003,4.46,18,98.0,0.75,94,Tier-1,60,3432,226264,Medium,ISO9001;AEC-Q100;RoHS,2023-06-25,90,Geopolitical tension flag,SUP-088,Q2-2023,13412,13143,100,59817.52
PO-10006,SUP-006,Dongfeng Castings Co,APAC,China,Mechanical Components,SKU-MC-1001,4.18,41,87.1,1.09,81,Tier-2,45,9196,1535740,Low,ISO9001;IATF16949,2023-11-20,72,None,SUP-036,Q1-2023,35575,30985,387,148703.5
PO-10007,SUP-007,Longhua Polymer Works,APAC,China,Raw Materials,SKU-RM-1002,10.79,49,70.8,1.42,68,Tier-3,30,17964,714079,Medium,ISO9001,2024-08-21,50,None,SUP-103,Q1-2024,66920,47379,950,722066.8
PO-10008,SUP-008,Shengda Pack Industries,APAC,China,Packaging Materials,SKU-PM-1001,0.88,16,85.3,2.03,78,Tier-2,45,18696,1134977,High,FSC;ISO9001,2024-03-08,62,Export license risk,SUP-028,Q3-2023,70605,60226,1433,62132.4
PO-10009,SUP-009,Tianhe Alloy Group,APAC,China,Specialty Alloys,SKU-SA-1001,26.85,29,88.1,1.48,86,Tier-2,45,2376,1526657,Medium,ISO9001,2023-12-15,77,Seasonal flood risk,SUP-106,Q1-2024,8672,7640,128,232843.2
PO-10010,SUP-010,Bohai Electronics,APAC,China,Electronic Components,SKU-EC-1004,5.79,34,63.0,2.63,64,Tier-3,30,21403,227330,High,ISO9001;RoHS,2024-01-18,30,Typhoon season disruption,SUP-002,Q4-2023,31419,19793,826,181916.01
PO-10011,SUP-011,Dravex Components India,APAC,India,Mechanical Components,SKU-MC-1002,2.54,38,80.6,2.98,74,Tier-3,30,21010,60422,High,ISO9001,2024-08-03,63,Typhoon season disruption,SUP-042,Q1-2023,36795,29656,1096,93459.3
PO-10012,SUP-012,Bharat Precision Works,APAC,India,Mechanical Components,SKU-MC-1003,6.54,29,94.1,0.64,82,Tier-2,45,6120,369256,High,ISO9001;IATF16949,2024-07-06,52,Currency volatility flag,SUP-046,Q3-2024,13060,12289,83,85412.4
PO-10013,SUP-013,IndoTech Fab Ltd,APAC,India,Electronic Components,SKU-EC-1005,8.89,33,90.8,2.33,89,Tier-2,45,14236,1018762,Medium,ISO9001;RoHS,2023-01-22,67,None,SUP-042,Q2-2023,36392,33043,847,323524.88
PO-10014,SUP-014,Deccan Polymer Mfg,APAC,India,Raw Materials,SKU-RM-1003,19.12,21,75.9,1.96,57,Tier-3,30,12501,110674,Low,ISO9001,2024-05-12,30,None,SUP-080,Q4-2023,30751,23340,602,587959.12
PO-10015,SUP-015,Narmada Pack Solutions,APAC,India,Packaging Materials,SKU-PM-1002,1.57,37,81.6,0.77,85,Tier-2,45,17498,1793443,Medium,FSC;ISO9001,2024-02-25,84,Geopolitical tension flag,SUP-071,Q2-2024,45257,36929,348,71053.49
PO-10016,SUP-016,Konkan Textile Mills,APAC,India,Industrial Textiles,SKU-IT-1002,4.65,35,85.9,2.44,88,Tier-2,45,13118,1778964,Low,OEKO-TEX;ISO9001,2024-03-08,54,None,SUP-085,Q4-2024,22304,19159,544,103713.6
PO-10017,SUP-017,Sahyadri Alloy Tech,APAC,India,Specialty Alloys,SKU-SA-1002,33.76,24,65.0,2.73,52,Tier-3,30,6657,723823,High,ISO9001,2024-02-21,58,Export license risk,SUP-114,Q4-2023,12106,7868,330,408698.56
PO-10018,SUP-018,Deltaforge Vietnam,APAC,Vietnam,Mechanical Components,SKU-MC-1004,7.87,18,73.1,1.91,62,Tier-3,30,17793,318085,Medium,ISO9001,2023-07-14,33,Port congestion risk,SUP-073,Q4-2024,27937,20421,533,219864.19
PO-10019,SUP-019,Saigon Precision Works,APAC,Vietnam,Electronic Components,SKU-EC-1006,7.12,22,83.0,3.11,85,Tier-2,45,3873,205156,Low,ISO9001;RoHS,2023-03-24,82,None,SUP-040,Q1-2023,12193,10120,379,86814.16
PO-10020,SUP-020,MeKong Pack Co,APAC,Vietnam,Packaging Materials,SKU-PM-1003,0.79,33,83.0,1.43,52,Tier-3,30,23970,663398,Medium,FSC;ISO9001,2023-07-29,45,Geopolitical tension flag,SUP-095,Q2-2024,58149,48263,831,45937.71
PO-10021,SUP-021,HanoiTex Industries,APAC,Vietnam,Industrial Textiles,SKU-IT-1003,3.26,32,89.4,1.28,75,Tier-2,45,11830,1058869,Low,OEKO-TEX;ISO9001,2023-03-17,73,None,SUP-023,Q4-2024,18382,16433,235,59925.32
PO-10022,SUP-022,DaNang Metal Works,APAC,Vietnam,Mechanical Components,SKU-MC-1005,3.23,33,74.5,2.87,54,Tier-3,30,17108,338830,High,ISO9001,2024-07-21,52,Typhoon season disruption,SUP-101,Q1-2023,60877,45353,1747,196632.71
PO-10023,SUP-023,Hanguk Circuit Works,APAC,South Korea,Electronic Components,SKU-EC-1007,5.39,14,91.4,1.23,84,Tier-1,60,4932,121499,Low,ISO9001;AEC-Q100,2023-09-28,78,None,SUP-067,Q4-2023,16195,14802,199,87291.05
